date,province,positive
2020-03-17,Western Cape,12
2020-03-17,Gauteng,69
2020-03-17,KwaZulu-Natal,13
2020-03-17,Eastern Cape,0
2020-03-17,Unknown,0
2020-03-17,Free State,0
2020-03-17,North West,0
2020-03-17,Mpumalanga,4
2020-03-17,Limpopo,0
2020-03-17,Northern Cape,0
2020-03-18,Western Cape,13
2020-03-18,Gauteng,93
2020-03-18,KwaZulu-Natal,17
2020-03-18,Eastern Cape,0
2020-03-18,Unknown,0
2020-03-18,Free State,1
2020-03-18,North West,0
2020-03-18,Mpumalanga,4
2020-03-18,Limpopo,0
2020-03-18,Northern Cape,0
2020-03-19,Western Cape,15
2020-03-19,Gauteng,108
2020-03-19,KwaZulu-Natal,17
2020-03-19,Eastern Cape,0
2020-03-19,Unknown,0
2020-03-19,Free State,1
2020-03-19,North West,0
2020-03-19,Mpumalanga,4
2020-03-19,Limpopo,0
2020-03-19,Northern Cape,0
2020-03-20,Western Cape,21
2020-03-20,Gauteng,155
2020-03-20,KwaZulu-Natal,23
2020-03-20,Eastern Cape,0
2020-03-20,Unknown,0
2020-03-20,Free State,1
2020-03-20,North West,1
2020-03-20,Mpumalanga,5
2020-03-20,Limpopo,3
2020-03-20,Northern Cape,0
2020-03-21,Western Cape,26
2020-03-21,Gauteng,210
2020-03-21,KwaZulu-Natal,42
2020-03-21,Eastern Cape,0
2020-03-21,Unknown,0
2020-03-21,Free State,3
2020-03-21,North West,4
2020-03-21,Mpumalanga,6
2020-03-21,Limpopo,3
2020-03-21,Northern Cape,0
2020-03-22,Western Cape,33
2020-03-22,Gauteng,278
2020-03-22,KwaZulu-Natal,57
2020-03-22,Eastern Cape,0
2020-03-22,Unknown,0
2020-03-22,Free State,5
2020-03-22,North West,5
2020-03-22,Mpumalanga,6
2020-03-22,Limpopo,3
2020-03-22,Northern Cape,0
2020-03-23,Western Cape,36
2020-03-23,Gauteng,300
2020-03-23,KwaZulu-Natal,60
2020-03-23,Eastern Cape,0
2020-03-23,Unknown,0
2020-03-23,Free State,5
2020-03-23,North West,6
2020-03-23,Mpumalanga,6
2020-03-23,Limpopo,4
2020-03-23,Northern Cape,0
2020-03-24,Western Cape,41
2020-03-24,Gauteng,362
2020-03-24,KwaZulu-Natal,74
2020-03-24,Eastern Cape,2
2020-03-24,Unknown,0
2020-03-24,Free State,10
2020-03-24,North West,11
2020-03-24,Mpumalanga,6
2020-03-24,Limpopo,4
2020-03-24,Northern Cape,0
2020-03-25,Western Cape,48
2020-03-25,Gauteng,425
2020-03-25,KwaZulu-Natal,98
2020-03-25,Eastern Cape,2
2020-03-25,Unknown,0
2020-03-25,Free State,15
2020-03-25,North West,13
2020-03-25,Mpumalanga,6
2020-03-25,Limpopo,5
2020-03-25,Northern Cape,0
2020-03-26,Western Cape,52
2020-03-26,Gauteng,526
2020-03-26,KwaZulu-Natal,118
2020-03-26,Eastern Cape,3
2020-03-26,Unknown,3
2020-03-26,Free State,20
2020-03-26,North West,14
2020-03-26,Mpumalanga,6
2020-03-26,Limpopo,7
2020-03-26,Northern Cape,1
2020-03-27,Western Cape,60
2020-03-27,Gauteng,570
2020-03-27,KwaZulu-Natal,141
2020-03-27,Eastern Cape,6
2020-03-27,Unknown,3
2020-03-27,Free State,21
2020-03-27,North West,14
2020-03-27,Mpumalanga,8
2020-03-27,Limpopo,9
2020-03-27,Northern Cape,1
2020-03-28,Western Cape,65
2020-03-28,Gauteng,609
2020-03-28,KwaZulu-Natal,148
2020-03-28,Eastern Cape,8
2020-03-28,Unknown,3
2020-03-28,Free State,25
2020-03-28,North West,16
2020-03-28,Mpumalanga,9
2020-03-28,Limpopo,9
2020-03-28,Northern Cape,1
2020-03-29,Western Cape,69
2020-03-29,Gauteng,621
2020-03-29,KwaZulu-Natal,151
2020-03-29,Eastern Cape,9
2020-03-29,Unknown,4
2020-03-29,Free State,26
2020-03-29,North West,17
